domain,device,slot,size,bidder,account_id,domain_id,slot_id,ab_tests,media_type
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier1,,AppNexus,,,25482513,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier1,,Index Exchange,,,830104,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier1,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9694b2018180ffe2450289a11a003d,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier1,,Pubmatic,158139,,4514874,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,AppNexus,,,25482514,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,Index Exchange,,,830105,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9698d2018180ffd7df0289a2ca0036,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,Pubmatic,158139,,4514875,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,Rubicon Project,7499,426812,2440748,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier2,,TrustX,,,351318,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,AppNexus,,,25482515,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,Index Exchange,,,830108,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9698d2018180ffd7df0289a47e0037,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,Pubmatic,158139,,4514876,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,Rubicon Project,7499,426812,2440750,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier3,,TrustX,,,351316,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,AppNexus,,,25482516,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,Index Exchange,,,830116,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9691af018180ffdca00289a68a0045,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,Pubmatic,158139,,4514878,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,Rubicon Project,7499,426812,2440752,,
aboutespanol.com,"pc,tablet",leaderboard-fixed/tier4,,TrustX,,,351321,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,AppNexus,,,25482517,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,Index Exchange,,,830119,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9694b2018180ffe2450289a86e003e,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,Pubmatic,158139,,4514879,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,Rubicon Project,7499,426812,2440754,,
aboutespanol.com,"pc,tablet",leaderboard-flex/tier1,,TrustX,,,351324,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,AppNexus,,,25482517,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,Index Exchange,,,830119,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9694b2018180ffe2450289a86e003e,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,Pubmatic,158139,,4514879,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,Rubicon Project,7499,426812,2440754,,
aboutespanol.com,"pc,tablet",leaderboardac/tier2,,TrustX,,,351324,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,AppNexus,,,25482513,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,Index Exchange,,,830104,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9694b2018180ffe2450289a11a003d,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,Pubmatic,158139,,4514874,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,Rubicon Project,7499,426812,2440746,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier1,,TrustX,,,351323,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,AppNexus,,,25482514,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,Index Exchange,,,830105,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9698d2018180ffd7df0289a2ca0036,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,Pubmatic,158139,,4514875,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,Rubicon Project,7499,426812,2440748,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier2,,TrustX,,,351318,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,AppNexus,,,25482515,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,Index Exchange,,,830108,,
